17.0854	16.5356	15.9751	13.825	14.4196
7.78471	11.6472	12.3215	9.43845	14.4196
7.78471	7.32406	8.96939	9.43845	10.466
7.78471	7.32406	8.96939	9.43845	5.69989
6.19703	3.86612	6.03551	5.81133	3.43756
4.97438	3.86612	2.97238	5.4726	3.43756
3.01538	3.86612	2.97238	4.55322	3.43756
3.01538	3.86612	2.97238	2.90887	3.43756
2.21991	2.87982	2.97238	2.46995	3.41359
2.03977	1.58043	1.51396	2.46995	2.38571
2.03977	1.58043	1.40548	2.26128	2.36567
1.88289	1.24534	1.34537	1.87844	2.01921
1.88289	1.24534	1.34067	1.47461	1.56818
1.27043	1.17949	1.27286	1.47461	1.41264
